# Spielberg centerline converted for f1tenth_mppi
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
# psi_rad is in the original TUM/F1TENTH convention; mppi_node_new.py adds pi/2
0.0000000;-50.5413000;14.7018000;2.6620581;-0.0602109;4.0000000;0.0000000
0.0580000;-50.5413000;14.6438000;2.6693305;-0.0278558;4.0000000;0.0000000
0.1399537;-50.4833000;14.5859000;2.7118776;0.0075816;4.0000000;0.0000000
0.1979537;-50.4833000;14.5279000;2.7119349;0.0431976;4.0000000;0.0000000
0.2798367;-50.4254000;14.4700000;2.6693305;0.0758268;4.0000000;0.0000000
0.3378367;-50.4254000;14.4120000;2.6558933;0.1020220;4.0000000;0.0000000
0.4198611;-50.3674000;14.3540000;2.6450747;0.1308597;4.0000000;0.0000000
0.4777611;-50.3674000;14.2961000;2.6366882;0.1338118;4.0000000;0.0000000
0.5597854;-50.3094000;14.2381000;2.6308109;0.1054579;4.0000000;0.0000000
0.6176854;-50.3094000;14.1802000;2.6273580;0.0763259;4.0000000;0.0000000
0.6996392;-50.2515000;14.1222000;2.6261213;-0.0092584;4.0000000;0.0000000
0.7816635;-50.1935000;14.0642000;2.6272305;-0.1055809;4.0000000;0.0000000
0.8395635;-50.1935000;14.0063000;2.6307865;-0.1138642;4.0000000;0.0000000
0.9215172;-50.1356000;13.9483000;2.6367680;-0.0916277;4.0000000;0.0000000
0.9794172;-50.1356000;13.8904000;2.6451036;-0.0724278;4.0000000;0.0000000
1.0614416;-50.0776000;13.8324000;2.6816910;-0.0462169;4.0000000;0.0000000
1.1194416;-50.0776000;13.7744000;2.6767333;-0.0158007;4.0000000;0.0000000
1.2013953;-50.0196000;13.7165000;2.6766756;0.0279910;4.0000000;0.0000000
1.2593953;-50.0196000;13.6585000;2.6816602;0.0535944;4.0000000;0.0000000
1.3412783;-49.9617000;13.6006000;2.6450540;0.0529568;4.0000000;0.0000000
1.3992783;-49.9617000;13.5426000;2.6366600;0.0609158;4.0000000;0.0000000
