# Spielberg centerline converted for f1tenth_mppi  [downsampled 5452 -> 1000 pts]
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
# psi_rad is in the original TUM/F1TENTH convention; mppi_node_new.py adds pi/2
0.0000000;-50.5413000;14.7018000;2.6620581;-0.0602109;4.0000000;0.0000000
0.3378367;-50.4254000;14.4120000;2.6558933;0.1020220;4.0000000;0.0000000
0.7816635;-50.1935000;14.0642000;2.6272305;-0.1055809;4.0000000;0.0000000
1.1194416;-50.0776000;13.7744000;2.6767333;-0.0158007;4.0000000;0.0000000
1.5392027;-49.9037000;13.4267000;2.6273237;0.0776992;4.0000000;0.0000000
1.9010345;-49.7298000;13.1369000;2.6522918;-0.0420958;4.0000000;0.0000000
2.3207955;-49.5560000;12.7891000;2.6272610;0.0374312;4.0000000;0.0000000
2.6826566;-49.3821000;12.4993000;2.6522377;-0.0030788;4.0000000;0.0000000
3.1023884;-49.2082000;12.1516000;2.6272953;0.0877143;4.0000000;0.0000000
3.4641909;-49.0343000;11.8618000;2.6237999;0.0091793;4.0000000;0.0000000
3.9080057;-48.8025000;11.5140000;2.6191378;0.0104414;4.0000000;0.0000000
4.2458424;-48.6866000;11.2242000;2.6110688;0.0732645;4.0000000;0.0000000
4.6077034;-48.5127000;10.9344000;2.5883240;0.0638509;4.0000000;0.0000000
5.0515889;-48.2808000;10.5866000;2.5596512;0.0636918;4.0000000;0.0000000
5.4133793;-48.1070000;10.2968000;2.5405226;0.0563414;4.0000000;0.0000000
5.8571354;-47.8751000;9.9491000;2.5628758;-0.0270697;4.0000000;0.0000000
6.2429502;-47.6433000;9.6593000;2.5628758;0.0050317;4.0000000;0.0000000
6.6868357;-47.4114000;9.3115000;2.5166435;0.0310030;4.0000000;0.0000000
7.0485968;-47.2376000;9.0217000;2.5383720;-0.0199337;4.0000000;0.0000000
7.4923822;-47.0057000;8.6740000;2.5468003;0.0665583;4.0000000;0.0000000
7.8781970;-46.7739000;8.3842000;2.5065573;0.0223014;4.0000000;0.0000000
8.3220824;-46.5420000;8.0364000;2.5136320;-0.0176222;4.0000000;0.0000000
8.7078972;-46.3102000;7.7466000;2.5405536;-0.0160834;4.0000000;0.0000000
9.0697290;-46.1363000;7.4568000;2.5176944;0.0400683;4.0000000;0.0000000
9.5375389;-45.8465000;7.1090000;2.5136089;0.0273418;4.0000000;0.0000000
9.8993707;-45.6726000;6.8192000;2.5136282;-0.0273067;4.0000000;0.0000000
10.3671098;-45.3828000;6.4715000;2.5176983;-0.0400116;4.0000000;0.0000000
10.7289002;-45.2090000;6.1817000;2.5404725;0.0162081;4.0000000;0.0000000
11.1727857;-44.9771000;5.8339000;2.5176526;0.0400308;4.0000000;0.0000000
11.5585711;-44.7453000;5.5441000;2.5065190;-0.0000747;4.0000000;0.0000000
12.0023566;-44.5134000;5.1964000;2.5136282;-0.0274108;4.0000000;0.0000000
12.3881421;-44.2816000;4.9066000;2.5405499;-0.0161407;4.0000000;0.0000000
12.8319276;-44.0498000;4.5588000;2.5405137;0.0161802;4.0000000;0.0000000
13.2178130;-43.8179000;4.2690000;2.5136128;0.0272914;4.0000000;0.0000000
13.6616278;-43.5861000;3.9212000;2.5065573;0.0000049;4.0000000;0.0000000
14.0475132;-43.3542000;3.6314000;2.5177363;-0.0399909;4.0000000;0.0000000
14.4092743;-43.1804000;3.3416000;2.5405099;0.0162375;4.0000000;0.0000000
14.8530305;-42.9485000;2.9939000;2.5176526;0.0400900;4.0000000;0.0000000
15.2388453;-42.7167000;2.7041000;2.5065190;-0.0000192;4.0000000;0.0000000
15.6827015;-42.4848000;2.3563000;2.5135901;-0.0273843;4.0000000;0.0000000
16.0685162;-42.2530000;2.0665000;2.5405125;-0.0161114;4.0000000;0.0000000
16.5122603;-42.0212000;1.7188000;2.5405099;0.0421487;4.0000000;0.0000000
16.8981165;-41.7893000;1.4290000;2.5136089;-0.0133515;4.0000000;0.0000000
17.3419020;-41.5575000;1.0812000;2.5269382;-0.0027513;4.0000000;0.0000000
17.7037338;-41.3836000;0.7914000;2.5469029;0.0203042;4.0000000;0.0000000
18.1715436;-41.0938000;0.4436000;2.5300894;-0.0027664;4.0000000;0.0000000
18.5333753;-40.9199000;0.1538000;2.5342086;0.0563830;4.0000000;0.0000000
18.9191608;-40.6881000;-0.1360000;2.5136212;-0.0033082;4.0000000;0.0000000
19.3629462;-40.4562000;-0.4837000;2.5269038;-0.0027953;4.0000000;0.0000000
19.7246780;-40.2824000;-0.7735000;2.5468620;0.0204710;4.0000000;0.0000000
20.1925172;-39.9926000;-1.1213000;2.5299837;-0.0027362;4.0000000;0.0000000
20.5543197;-39.8187000;-1.4111000;2.5341224;0.0301436;4.0000000;0.0000000
20.9981052;-39.5868000;-1.7588000;2.5176906;0.0341368;4.0000000;0.0000000
21.3839200;-39.3550000;-2.0486000;2.5280369;0.0251130;4.0000000;0.0000000
21.8277347;-39.1232000;-2.3964000;2.4743016;0.0589840;4.0000000;0.0000000
22.2135909;-38.8913000;-2.6862000;2.5166379;0.0089684;4.0000000;0.0000000
22.6814301;-38.6015000;-3.0340000;2.4896923;-0.0577453;4.0000000;0.0000000
23.0432619;-38.4276000;-3.3238000;2.5156599;0.0901359;4.0000000;0.0000000
23.4290473;-38.1958000;-3.6136000;2.5167149;0.0012561;4.0000000;0.0000000
23.8727621;-37.9640000;-3.9613000;2.4800094;-0.0045417;4.0000000;0.0000000
24.2586476;-37.7321000;-4.2511000;2.5414815;-0.0157372;4.0000000;0.0000000
24.7024624;-37.5003000;-4.5989000;2.5176402;0.0353722;4.0000000;0.0000000
25.0883185;-37.2684000;-4.8887000;2.4995808;-0.0920335;4.0000000;0.0000000
25.5320626;-37.0366000;-5.2364000;2.5728123;-0.1171804;4.0000000;0.0000000
25.8938944;-36.8627000;-5.5262000;2.5996111;0.0181509;4.0000000;0.0000000
26.3377092;-36.6309000;-5.8740000;2.5949998;-0.0387987;4.0000000;0.0000000
26.6995703;-36.4570000;-6.1638000;2.5883318;-0.0743685;3.9973862;-0.0895160
27.1194313;-36.2831000;-6.5116000;2.6379095;-0.1744027;3.9939010;0.0179061
27.4812924;-36.1092000;-6.8014000;2.6854090;-0.0806883;3.9989835;0.0806522
27.8190705;-35.9933000;-7.0912000;2.6779953;0.0196270;4.0000000;0.0000000
28.2388315;-35.8194000;-7.4389000;2.6779803;-0.0195132;4.0000000;0.0000000
