time_sec,rmse_m,num_samples
1788803795.242,0.105703,7
1788803796.242,0.060019,8
1788803797.249,0.083475,5
1788803798.242,0.045470,6
1788803799.242,0.217754,3
1788803800.242,0.141354,7
1788803801.245,0.137737,5
1788803802.243,0.133279,3
1788803803.242,0.238242,3
1788803804.243,0.067397,1
1788803805.243,0.267839,2
1788803806.244,0.343786,3
1788803807.250,0.227315,1
1788803833.245,0.196425,1
1788803834.242,0.148754,1
1788803835.243,0.156955,7
1788803836.243,0.155288,8
1788803837.242,0.078885,7
1788803838.245,0.112267,7
1788803839.243,0.098037,7
1788803840.242,0.077174,7
1788803841.242,0.077470,10
1788803842.242,0.078018,11
1788803843.243,0.176944,6
1788803844.243,0.118407,5
1788803845.243,0.085233,9
1788803846.243,0.084851,9
1788803847.242,0.127295,9
1788803848.242,0.069624,9
1788803849.242,0.208999,4
1788803850.242,0.278848,4
1788803851.242,0.080908,2
1788803852.243,0.457234,3
1788803872.242,0.300220,5
1788803873.242,0.213790,5
1788803874.243,0.163537,2
1788803875.244,0.166786,5
1788803876.242,0.336488,10
1788803877.242,0.204458,7
1788803878.243,0.191755,7
1788803879.242,0.218736,8
1788803880.242,0.239299,9
1788803881.242,0.280529,9
1788803882.242,0.133626,8
1788803883.248,0.174884,5
1788803884.243,0.392793,3
1788803885.248,0.423260,5
1788803889.243,0.132330,4
1788803890.244,0.639746,2
1788803891.256,1.107364,1
1788803892.245,0.859344,1
1788803942.242,0.187538,2
1788803943.242,0.257568,4
1788803944.242,0.171852,4
1788803945.242,0.179241,7
1788803946.242,0.189271,6
1788803947.245,0.185763,7
1788803948.254,0.271023,10
1788803949.242,0.255833,7
1788803950.243,0.271737,5
1788803951.242,0.245397,3
1788803952.243,0.199640,8
1788803953.242,0.221085,4
1788803954.244,0.201909,2
1788803955.242,0.654071,1
1788803956.242,0.451560,3
1788803957.242,0.214341,4
1788803959.245,1.405353,1
1788803981.242,0.203956,5
1788803982.243,0.266551,7
1788803983.242,0.171502,5
1788803984.244,0.282424,4
1788803985.243,0.240654,7
1788803986.242,0.225279,7
1788803987.242,0.244952,6
1788803988.242,0.250750,7
1788803989.242,0.243998,8
1788803990.242,0.190674,7
1788803991.242,0.185736,8
1788803992.245,0.187846,11
1788803993.242,0.233319,8
1788803994.242,0.325986,3
1788803995.247,0.198561,4
1788803996.242,0.206456,6
1788803997.245,0.333708,4
1788803998.242,0.250582,5
1788803999.242,0.171994,3
1788804000.242,0.223900,3
1788804001.242,0.672123,2
1788804002.242,0.249502,3
1788804049.242,0.208126,4
1788804050.243,0.421109,6
1788804051.242,0.552604,6
1788804052.245,0.352885,8
1788804053.242,0.370552,6
1788804054.248,0.134811,3
1788804055.242,0.294333,7
1788804056.243,0.218509,9
1788804057.242,0.221370,8
1788804058.242,0.148852,6
1788804059.245,0.192564,7
1788804060.242,0.216118,7
1788804061.242,0.069440,8
1788804062.242,0.234254,6
1788804063.243,0.127277,4
1788804064.242,0.089221,2
1788804065.242,0.429517,1
1788804066.242,0.800740,1
1788804067.242,0.336036,5
1788804069.246,1.255909,1
1788804070.244,0.821918,2
1788804081.245,0.223904,3
1788804082.242,0.360807,9
1788804083.242,0.237678,8
1788804084.242,0.268875,3
1788804085.242,0.143323,8
1788804086.242,0.082675,9
1788804087.244,0.076430,11
1788804088.246,0.059628,8
1788804089.242,0.102403,10
1788804090.245,0.098860,6
1788804091.243,0.113815,7
1788804092.242,0.086237,10
1788804093.242,0.120623,4
1788804094.244,0.074048,3
1788804095.245,0.170010,7
1788804096.242,0.159327,6
1788804097.243,0.054367,4
1788804098.242,0.475275,4
1788804099.251,0.102644,2
1788804100.242,0.512523,2
1788804101.242,1.215485,1
1788804103.345,1.215702,2
1788804105.242,0.235467,4
1788804122.242,0.336872,7
1788804123.246,0.200079,7
1788804124.242,0.154042,3
1788804125.245,0.074343,7
1788804126.242,0.100135,8
1788804127.242,0.073052,8
1788804128.242,0.100714,7
1788804129.243,0.095438,10
1788804130.242,0.089557,9
1788804131.249,0.085259,9
1788804132.242,0.066470,10
1788804133.242,0.078271,7
1788804134.242,0.148634,4
1788804135.242,0.122810,6
1788804136.242,0.116890,8
1788804137.243,0.077681,7
1788804138.242,0.162239,4
1788804139.242,0.357489,2
1788804159.242,0.196018,4
1788804160.242,0.228802,8
1788804161.242,0.282440,7
1788804162.242,0.106108,6
1788804163.252,0.095735,4
1788804164.242,0.198780,2
1788804165.245,0.201312,2
1788804166.245,0.196182,6
1788804167.244,0.231521,6
1788804168.242,0.093846,7
1788804169.242,0.237984,4
1788804170.242,0.174556,7
1788804171.242,0.251558,7
1788804172.250,0.172203,8
1788804173.247,0.090738,8
1788804175.245,0.661583,2
1788804176.242,0.124953,2
