time_sec,rmse_m,num_samples
1788803795.242,0.467447,7
1788803796.242,0.449093,8
1788803797.249,0.606240,5
1788803798.242,0.478171,7
1788803799.242,0.291280,3
1788803800.242,0.458964,6
1788803801.245,0.329395,5
1788803802.243,0.294979,4
1788803803.242,0.334875,3
1788803804.243,0.300500,1
1788803805.243,0.202737,2
1788803806.244,0.280522,3
1788803807.250,0.302581,1
1788803833.245,0.233307,1
1788803834.242,0.141489,2
1788803835.243,0.224727,6
1788803836.243,0.269347,8
1788803837.242,0.429877,8
1788803838.245,0.531012,7
1788803839.243,0.401373,6
1788803840.242,0.494725,8
1788803841.242,0.475301,10
1788803842.242,0.470296,10
1788803843.243,0.344755,7
1788803844.243,0.504193,5
1788803845.243,0.463469,9
1788803846.243,0.468271,9
1788803847.242,0.526934,8
1788803848.242,0.437990,9
1788803849.242,0.417539,4
1788803850.242,0.478899,5
1788803851.242,0.066201,2
1788803852.243,0.306535,3
1788803872.242,0.263998,6
1788803873.242,0.321086,4
1788803874.243,0.188258,2
1788803875.244,0.299993,6
1788803876.242,0.387307,9
1788803877.242,0.541990,6
1788803878.243,0.550630,9
1788803879.242,0.367197,8
1788803880.242,0.328814,9
1788803881.242,0.461801,8
1788803882.242,0.300154,9
1788803883.248,0.425405,5
1788803884.243,0.225855,3
1788803885.248,0.107364,4
1788803886.242,0.286763,1
1788803888.253,0.201270,1
1788803889.243,0.316421,4
1788803890.244,0.199778,2
1788803891.256,0.217673,1
1788803892.245,0.172985,1
1788803942.242,0.266951,2
1788803943.242,0.261286,5
1788803944.242,0.245758,4
1788803945.242,0.324319,6
1788803946.242,0.276256,7
1788803947.245,0.277681,7
1788803948.254,0.409836,9
1788803949.242,0.380424,8
1788803950.243,0.186994,4
1788803951.242,0.143200,4
1788803952.243,0.192049,8
1788803953.242,0.233664,4
1788803954.244,0.137476,2
1788803955.242,0.102391,1
1788803956.242,0.230112,3
1788803957.242,0.259763,4
1788803959.245,0.261741,1
1788803981.242,0.174219,6
1788803982.243,0.280267,7
1788803983.242,0.365719,5
1788803984.244,0.277776,4
1788803985.243,0.316876,7
1788803986.242,0.313390,7
1788803987.242,0.355320,6
1788803988.242,0.381326,7
1788803989.242,0.379655,8
1788803990.242,0.267543,7
1788803991.242,0.335010,8
1788803992.245,0.343725,10
1788803993.242,0.391028,8
1788803994.242,0.462147,3
1788803995.247,0.253173,5
1788803996.242,0.215229,5
1788803997.245,0.243012,5
1788803998.242,0.229377,5
1788803999.242,0.338724,3
1788804000.242,0.306461,3
1788804001.242,0.240963,1
1788804002.242,0.158036,4
1788804049.242,0.275959,5
1788804050.243,0.316267,5
1788804051.242,0.586029,7
1788804052.245,0.307070,7
1788804053.242,0.401664,6
1788804054.248,0.122950,4
1788804055.242,0.269884,6
1788804056.243,0.195047,9
1788804057.242,0.333311,9
1788804058.242,0.272694,5
1788804059.245,0.310568,8
1788804060.242,0.345381,7
1788804061.242,0.106941,7
1788804062.242,0.241305,7
1788804063.243,0.152616,4
1788804064.242,0.355742,1
1788804065.242,0.080122,2
1788804066.242,0.045954,1
1788804067.242,0.148912,4
1788804068.242,0.113811,1
1788804069.246,0.192652,1
1788804070.244,0.097228,2
1788804081.245,0.195950,3
1788804082.242,0.409688,10
1788804083.242,0.299348,8
1788804084.242,0.322292,3
1788804085.242,0.138350,7
1788804086.242,0.048683,10
1788804087.244,0.146946,9
1788804088.246,0.152585,10
1788804089.242,0.147957,9
1788804090.245,0.184321,7
1788804091.243,0.199320,7
1788804092.242,0.130343,10
1788804093.242,0.199808,4
1788804094.244,0.307869,3
1788804095.245,0.139989,7
1788804096.242,0.169471,6
1788804097.243,0.143271,4
1788804098.242,0.148097,4
1788804099.251,0.143610,2
1788804100.242,0.310609,2
1788804102.242,0.180421,1
1788804103.345,0.145713,2
1788804105.242,0.242653,4
1788804121.242,0.311180,1
1788804122.242,0.328097,6
1788804123.246,0.199421,7
1788804124.242,0.228615,4
1788804125.245,0.137180,6
1788804126.242,0.236345,8
1788804127.242,0.162345,7
1788804128.242,0.216758,9
1788804129.243,0.220120,10
1788804130.242,0.198915,9
1788804131.249,0.186150,9
1788804132.242,0.182775,9
1788804133.242,0.202786,7
1788804134.242,0.198645,4
1788804135.242,0.258673,7
1788804136.242,0.157377,7
1788804137.243,0.170372,8
1788804138.242,0.343250,4
1788804139.242,0.419796,2
1788804159.242,0.129017,5
1788804160.242,0.247358,8
1788804161.242,0.223443,6
1788804162.242,0.235664,6
1788804163.252,0.211590,4
1788804164.242,0.275723,3
1788804165.245,0.356872,2
1788804166.245,0.181290,6
1788804167.244,0.155569,6
1788804168.242,0.126798,6
1788804169.242,0.178322,5
1788804170.242,0.129759,7
1788804171.242,0.157463,6
1788804172.250,0.169105,8
1788804173.247,0.201379,8
1788804174.242,0.200868,1
1788804175.245,0.368833,2
1788804176.242,0.317447,2
